symbol,price,action_day,time,volume,turnover,bsflag,record_id,order_kind,function_code,ask_order_id,bid_order_id,channel,direction,datetime
000004.SZ,0.000000,20240308,91500040,900,0,32,2703,0,67,0,2702,2013,0,20240308091500040
000004.SZ,0.000000,20240308,91500040,900,0,32,2718,0,67,0,2704,2013,0,20240308091500040
000004.SZ,0.000000,20240308,91502240,100,0,32,177642,0,67,0,4030,2013,0,20240308091502240
000004.SZ,0.000000,20240308,91506290,1000,0,32,216079,0,67,0,214281,2013,0,20240308091506290
000004.SZ,0.000000,20240308,91517040,100,0,32,220934,0,67,0,4384,2013,0,20240308091517040
000004.SZ,0.000000,20240308,91517310,100,0,32,220994,0,67,0,1195,2013,0,20240308091517310
000004.SZ,0.000000,20240308,91517760,100,0,32,221041,0,67,0,1117,2013,0,20240308091517760
000004.SZ,0.000000,20240308,91518150,100,0,32,221092,0,67,0,1198,2013,0,20240308091518150
000004.SZ,0.000000,20240308,91529100,200,0,32,222644,0,67,89288,0,2013,0,20240308091529100
000004.SZ,0.000000,20240308,91529420,5200,0,32,222685,0,67,31900,0,2013,0,20240308091529420
000004.SZ,0.000000,20240308,91537620,100,0,32,224354,0,67,0,131148,2013,0,20240308091537620
000004.SZ,0.000000,20240308,91543230,1700,0,32,225476,0,67,8898,0,2013,0,20240308091543230
000004.SZ,0.000000,20240308,91605730,6800,0,32,230084,0,67,0,185615,2013,0,20240308091605730
000004.SZ,0.000000,20240308,91637060,3500,0,32,236476,0,67,235266,0,2013,0,20240308091637060
000004.SZ,0.000000,20240308,91645690,100,0,32,238298,0,67,0,237050,2013,0,20240308091645690
000004.SZ,0.000000,20240308,91736720,200,0,32,249622,0,67,132296,0,2013,0,20240308091736720
000004.SZ,0.000000,20240308,91752100,3900,0,32,253148,0,67,82684,0,2013,0,20240308091752100
000004.SZ,0.000000,20240308,91800170,6500,0,32,255087,0,67,1352,0,2013,0,20240308091800170
000004.SZ,0.000000,20240308,91800250,13400,0,32,255113,0,67,10231,0,2013,0,20240308091800250
000004.SZ,0.000000,20240308,91800250,14300,0,32,255117,0,67,1355,0,2013,0,20240308091800250
000004.SZ,0.000000,20240308,91839860,100,0,32,265443,0,67,242715,0,2013,0,20240308091839860
000004.SZ,0.000000,20240308,91857020,500,0,32,270067,0,67,237354,0,2013,0,20240308091857020
000004.SZ,0.000000,20240308,91930790,1100,0,32,280144,0,67,182152,0,2013,0,20240308091930790
000004.SZ,0.000000,20240308,91953830,17000,0,32,287586,0,67,279936,0,2013,0,20240308091953830
000004.SZ,13.110000,20240308,92500000,100,1311,66,428981,0,48,4016,62651,2013,1,20240308092500000
000004.SZ,13.110000,20240308,92500000,600,7866,66,428982,0,48,9412,201201,2013,1,20240308092500000
000004.SZ,13.110000,20240308,92500000,100,1311,66,428983,0,48,10297,201201,2013,1,20240308092500000
000004.SZ,13.110000,20240308,92500000,300,3933,66,428984,0,48,10297,295157,2013,1,20240308092500000
000004.SZ,13.110000,20240308,92500000,2200,28842,66,428985,0,48,10297,303294,2013,1,20240308092500000
000004.SZ,13.110000,20240308,92500000,1000,13110,66,428986,0,48,10297,397041,2013,1,20240308092500000
000004.SZ,13.110000,20240308,92500000,200,2622,66,428987,0,48,10297,402162,2013,1,20240308092500000
000004.SZ,13.110000,20240308,92500000,100,1311,66,428988,0,48,36680,402162,2013,1,20240308092500000
000004.SZ,13.110000,20240308,92500000,100,1311,66,428989,0,48,36680,404797,2013,1,20240308092500000
